"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.947278000E0,4.718032941E0,-4.631202958E0,3.071940227E1,3.142275531E1
2.957319000E0,7.486417072E0,-6.160338728E0,2.755300869E1,2.920897981E1
2.967361000E0,6.702159272E0,-5.866213841E0,2.088885983E1,2.270849772E1
2.977402000E0,5.314857658E0,-4.986718347E0,1.299726463E1,1.490113954E1
2.987443000E0,-1.478320251E0,-7.222783660E0,-1.297656198E0,7.485849729E0
2.997484000E0,-9.592925043E0,-9.636341788E0,-1.857105161E1,2.301667335E1
3.007526000E0,-8.754768194E0,-6.835627817E0,-2.651038933E1,2.874321687E1
3.017567000E0,-1.007218915E1,-7.336131350E0,-2.381739335E1,2.688003057E1
3.027608000E0,-7.090959352E0,-9.355049200E0,-1.822784110E1,2.168070205E1
3.037649000E0,-3.488508792E-1,-8.024363251E0,-1.246123517E1,1.482546742E1
3.047691000E0,3.961678054E0,-6.703900573E0,-8.086526754E0,1.122626790E1
3.057732000E0,6.160341067E0,-7.595382859E0,-3.886801827E0,1.052363394E1
3.067773000E0,5.358935723E0,-6.744871429E0,4.311944106E0,9.633501162E0
3.077814000E0,1.233181143E0,-4.538029915E0,1.587256159E1,1.655453601E1
3.087856000E0,-1.693783569E0,-5.826824657E0,2.374976913E1,2.451269716E1
3.097897000E0,-1.248904599E0,-7.439257523E0,2.561543321E1,2.670304728E1
3.107938000E0,-7.840205486E-1,-8.285802788E0,2.246557089E1,2.395769378E1
3.117979000E0,-1.303703096E0,-8.687411778E0,1.672017514E1,1.888743026E1
3.128020000E0,-2.687607186E0,-8.042670883E0,9.001592031E0,1.236674761E1
3.138062000E0,-7.306914568E0,-7.856077461E0,-5.181787308E0,1.191469149E1
3.148103000E0,-6.391458113E0,-9.121507899E0,-1.958260238E1,2.252844777E1
3.158144000E0,-2.343928900E0,-7.708555718E0,-2.464700566E1,2.593049791E1
3.168185000E0,-8.183947799E0,-1.016211699E1,-2.189287821E1,2.548614800E1
3.178227000E0,-9.594814278E0,-1.137318879E1,-1.795223025E1,2.331721371E1
3.188268000E0,-5.098912382E0,-9.420951998E0,-1.426867735E1,1.784232040E1
3.198309000E0,2.752297564E-1,-7.615221877E0,-1.061378633E1,1.306597933E1
3.208350000E0,5.670851349E0,-7.444359804E0,-4.867432224E0,1.054840957E1
3.218392000E0,6.428366908E0,-6.328680067E0,6.483772784E0,1.110924849E1
